"","Overs","Mdns","Runs","Wkts","Econ","Ave","SR","Opposition","Ground","Start Date","Match_ID","Bowler","Player_ID"
"4106","-","-","-","-","-","-","-","v Sri Lanka","Colombo (RPS)","22 Jul 2015","ODI # 3671","Sarfaraz Ahmed ",227760
"4107","-","-","-","-","-","-","-","v Sri Lanka","Hambantota","26 Jul 2015","ODI # 3672","Sarfaraz Ahmed ",227760
"4108","-","-","-","-","-","-","-","v Zimbabwe","Harare","1 Oct 2015","ODI # 3685","Sarfaraz Ahmed ",227760
"4109","-","-","-","-","-","-","-","v Zimbabwe","Harare","3 Oct 2015","ODI # 3686","Sarfaraz Ahmed ",227760
"4110","-","-","-","-","-","-","-","v Zimbabwe","Harare","5 Oct 2015","ODI # 3687","Sarfaraz Ahmed ",227760
"4111","-","-","-","-","-","-","-","v England","Abu Dhabi","11 Nov 2015","ODI # 3707","Sarfaraz Ahmed ",227760
"4112","-","-","-","-","-","-","-","v England","Abu Dhabi","13 Nov 2015","ODI # 3708","Sarfaraz Ahmed ",227760
"4113","-","-","-","-","-","-","-","v England","Sharjah","17 Nov 2015","ODI # 3710","Sarfaraz Ahmed ",227760
"4114","-","-","-","-","-","-","-","v England","Dubai (DSC)","20 Nov 2015","ODI # 3712","Sarfaraz Ahmed ",227760
"4115","-","-","-","-","-","-","-","v New Zealand","Wellington","25 Jan 2016","ODI # 3728","Sarfaraz Ahmed ",227760
"4116","-","-","-","-","-","-","-","v New Zealand","Auckland","31 Jan 2016","ODI # 3730","Sarfaraz Ahmed ",227760
"4117","-","-","-","-","-","-","-","v Ireland","Dublin (Malahide)","18 Aug 2016","ODI # 3767","Sarfaraz Ahmed ",227760
"4118","-","-","-","-","-","-","-","v England","Southampton","24 Aug 2016","ODI # 3770","Sarfaraz Ahmed ",227760
"4119","-","-","-","-","-","-","-","v England","Lord's","27 Aug 2016","ODI # 3771","Sarfaraz Ahmed ",227760
"4120","-","-","-","-","-","-","-","v England","Nottingham","30 Aug 2016","ODI # 3773","Sarfaraz Ahmed ",227760
"4121","-","-","-","-","-","-","-","v England","Leeds","1 Sep 2016","ODI # 3775","Sarfaraz Ahmed ",227760
"4122","-","-","-","-","-","-","-","v England","Cardiff","4 Sep 2016","ODI # 3777","Sarfaraz Ahmed ",227760
"4123","-","-","-","-","-","-","-","v West Indies","Sharjah","30 Sep 2016","ODI # 3784","Sarfaraz Ahmed ",227760
"4124","-","-","-","-","-","-","-","v West Indies","Sharjah","2 Oct 2016","ODI # 3788","Sarfaraz Ahmed ",227760
"4125","-","-","-","-","-","-","-","v West Indies","Abu Dhabi","5 Oct 2016","ODI # 3789","Sarfaraz Ahmed ",227760
"4126","-","-","-","-","-","-","-","v West Indies","Providence","7 Apr 2017","ODI # 3861","Sarfaraz Ahmed ",227760
"4127","-","-","-","-","-","-","-","v West Indies","Providence","9 Apr 2017","ODI # 3862","Sarfaraz Ahmed ",227760
"4128","-","-","-","-","-","-","-","v West Indies","Providence","11 Apr 2017","ODI # 3863","Sarfaraz Ahmed ",227760
"4129","-","-","-","-","-","-","-","v India","Birmingham","4 Jun 2017","ODI # 3878","Sarfaraz Ahmed ",227760
"4130","-","-","-","-","-","-","-","v South Africa","Birmingham","7 Jun 2017","ODI # 3881","Sarfaraz Ahmed ",227760
"4131","-","-","-","-","-","-","-","v Sri Lanka","Cardiff","12 Jun 2017","ODI # 3888","Sarfaraz Ahmed ",227760
"4132","-","-","-","-","-","-","-","v England","Cardiff","14 Jun 2017","ODI # 3889","Sarfaraz Ahmed ",227760
"4133","-","-","-","-","-","-","-","v India","The Oval","18 Jun 2017","ODI # 3894","Sarfaraz Ahmed ",227760
"4134","-","-","-","-","-","-","-","v Sri Lanka","Dubai (DSC)","13 Oct 2017","ODI # 3922","Sarfaraz Ahmed ",227760
"4135","-","-","-","-","-","-","-","v Sri Lanka","Abu Dhabi","16 Oct 2017","ODI # 3924","Sarfaraz Ahmed ",227760
"4136","-","-","-","-","-","-","-","v Sri Lanka","Abu Dhabi","18 Oct 2017","ODI # 3926","Sarfaraz Ahmed ",227760
"4137","-","-","-","-","-","-","-","v Sri Lanka","Sharjah","20 Oct 2017","ODI # 3927","Sarfaraz Ahmed ",227760
"4138","-","-","-","-","-","-","-","v Sri Lanka","Sharjah","23 Oct 2017","ODI # 3930","Sarfaraz Ahmed ",227760
"4139","-","-","-","-","-","-","-","v New Zealand","Wellington","6 Jan 2018","ODI # 3946","Sarfaraz Ahmed ",227760
"4140","-","-","-","-","-","-","-","v New Zealand","Nelson","9 Jan 2018","ODI # 3947","Sarfaraz Ahmed ",227760
"4141","-","-","-","-","-","-","-","v New Zealand","Dunedin","13 Jan 2018","ODI # 3949","Sarfaraz Ahmed ",227760
"4142","-","-","-","-","-","-","-","v New Zealand","Hamilton","16 Jan 2018","ODI # 3953","Sarfaraz Ahmed ",227760
"4143","-","-","-","-","-","-","-","v New Zealand","Wellington","19 Jan 2018","ODI # 3957","Sarfaraz Ahmed ",227760
"4144","-","-","-","-","-","-","-","v Zimbabwe","Bulawayo","13 Jul 2018","ODI # 4015","Sarfaraz Ahmed ",227760
"4145","-","-","-","-","-","-","-","v Zimbabwe","Bulawayo","16 Jul 2018","ODI # 4017","Sarfaraz Ahmed ",227760
"4146","-","-","-","-","-","-","-","v Zimbabwe","Bulawayo","18 Jul 2018","ODI # 4019","Sarfaraz Ahmed ",227760
"4147","-","-","-","-","-","-","-","v Zimbabwe","Bulawayo","20 Jul 2018","ODI # 4020","Sarfaraz Ahmed ",227760
"4148","2.0","0","15","0","7.50","-","-","v Zimbabwe","Bulawayo","22 Jul 2018","ODI # 4021","Sarfaraz Ahmed ",227760
"4149","-","-","-","-","-","-","-","v Hong Kong","Dubai (DSC)","16 Sep 2018","ODI # 4037","Sarfaraz Ahmed ",227760
"4150","-","-","-","-","-","-","-","v India","Dubai (DSC)","19 Sep 2018","ODI # 4040","Sarfaraz Ahmed ",227760
"4151","-","-","-","-","-","-","-","v Afghanistan","Abu Dhabi","21 Sep 2018","ODI # 4043","Sarfaraz Ahmed ",227760
"4152","-","-","-","-","-","-","-","v India","Dubai (DSC)","23 Sep 2018","ODI # 4044","Sarfaraz Ahmed ",227760
"4153","-","-","-","-","-","-","-","v Bangladesh","Abu Dhabi","26 Sep 2018","ODI # 4047","Sarfaraz Ahmed ",227760
"4154","-","-","-","-","-","-","-","v New Zealand","Abu Dhabi","7 Nov 2018","ODI # 4066","Sarfaraz Ahmed ",227760
"4155","-","-","-","-","-","-","-","v New Zealand","Abu Dhabi","9 Nov 2018","ODI # 4068","Sarfaraz Ahmed ",227760
"4156","-","-","-","-","-","-","-","v New Zealand","Dubai (DSC)","11 Nov 2018","ODI # 4070","Sarfaraz Ahmed ",227760
"4157","-","-","-","-","-","-","-","v South Africa","Port Elizabeth","19 Jan 2019","ODI # 4080","Sarfaraz Ahmed ",227760
"4158","-","-","-","-","-","-","-","v South Africa","Durban","22 Jan 2019","ODI # 4081","Sarfaraz Ahmed ",227760
"4159","-","-","-","-","-","-","-","v South Africa","Centurion","25 Jan 2019","ODI # 4084","Sarfaraz Ahmed ",227760
"4160","-","-","-","-","-","-","-","v England","The Oval","8 May 2019","ODI # 4130","Sarfaraz Ahmed ",227760
"4161","-","-","-","-","-","-","-","v England","Southampton","11 May 2019","ODI # 4133","Sarfaraz Ahmed ",227760
"4162","-","-","-","-","-","-","-","v England","Bristol","14 May 2019","ODI # 4135","Sarfaraz Ahmed ",227760
"4163","-","-","-","-","-","-","-","v England","Nottingham","17 May 2019","ODI # 4138","Sarfaraz Ahmed ",227760
"4164","-","-","-","-","-","-","-","v West Indies","Napier","1 Mar 2006","ODI # 2342","Ross Taylor",38699
"4165","-","-","-","-","-","-","-","v West Indies","Auckland","4 Mar 2006","ODI # 2346","Ross Taylor",38699
"4166","-","-","-","-","-","-","-","v Sri Lanka","Napier","28 Dec 2006","ODI # 2468","Ross Taylor",38699
"4167","-","-","-","-","-","-","-","v Sri Lanka","Queenstown","31 Dec 2006","ODI # 2469","Ross Taylor",38699
"4168","-","-","-","-","-","-","-","v Sri Lanka","Christchurch","2 Jan 2007","ODI # 2470","Ross Taylor",38699
"4169","-","-","-","-","-","-","-","v Sri Lanka","Auckland","6 Jan 2007","ODI # 2471","Ross Taylor",38699
"4170","-","-","-","-","-","-","-","v Sri Lanka","Hamilton","9 Jan 2007","ODI # 2472","Ross Taylor",38699
"4171","-","-","-","-","-","-","-","v Australia","Hobart","14 Jan 2007","ODI # 2474","Ross Taylor",38699
"4172","-","-","-","-","-","-","-","v England","Hobart","16 Jan 2007","ODI # 2475","Ross Taylor",38699
"4173","-","-","-","-","-","-","-","v Australia","Sydney","21 Jan 2007","ODI # 2479","Ross Taylor",38699
"4174","-","-","-","-","-","-","-","v England","Adelaide","23 Jan 2007","ODI # 2482","Ross Taylor",38699
"4175","2.0","0","16","0","8.00","-","-","v Australia","Perth","28 Jan 2007","ODI # 2488","Ross Taylor",38699
"4176","-","-","-","-","-","-","-","v England","Perth","30 Jan 2007","ODI # 2490","Ross Taylor",38699
"4177","-","-","-","-","-","-","-","v Australia","Melbourne","4 Feb 2007","ODI # 2501","Ross Taylor",38699
"4178","-","-","-","-","-","-","-","v England","Brisbane","6 Feb 2007","ODI # 2510","Ross Taylor",38699
"4179","-","-","-","-","-","-","-","v Australia","Wellington","16 Feb 2007","ODI # 2524","Ross Taylor",38699
"4180","-","-","-","-","-","-","-","v Australia","Auckland","18 Feb 2007","ODI # 2526","Ross Taylor",38699
"4181","-","-","-","-","-","-","-","v Australia","Hamilton","20 Feb 2007","ODI # 2527","Ross Taylor",38699
"4182","-","-","-","-","-","-","-","v England","Gros Islet","16 Mar 2007","ODI # 2536","Ross Taylor",38699
"4183","-","-","-","-","-","-","-","v Kenya","Gros Islet","20 Mar 2007","ODI # 2544","Ross Taylor",38699
"4184","-","-","-","-","-","-","-","v Sri Lanka","St George's","12 Apr 2007","ODI # 2569","Ross Taylor",38699
"4185","-","-","-","-","-","-","-","v South Africa","St George's","14 Apr 2007","ODI # 2571","Ross Taylor",38699
"4186","-","-","-","-","-","-","-","v Australia","St George's","20 Apr 2007","ODI # 2577","Ross Taylor",38699
"4187","-","-","-","-","-","-","-","v Sri Lanka","Kingston","24 Apr 2007","ODI # 2579","Ross Taylor",38699
"4188","-","-","-","-","-","-","-","v South Africa","Durban","25 Nov 2007","ODI # 2648","Ross Taylor",38699
"4189","-","-","-","-","-","-","-","v South Africa","Port Elizabeth","30 Nov 2007","ODI # 2650","Ross Taylor",38699
"4190","-","-","-","-","-","-","-","v South Africa","Cape Town","2 Dec 2007","ODI # 2652","Ross Taylor",38699
"4191","-","-","-","-","-","-","-","v Australia","Adelaide","14 Dec 2007","ODI # 2655","Ross Taylor",38699
"4192","-","-","-","-","-","-","-","v Australia","Sydney","16 Dec 2007","ODI # 2656","Ross Taylor",38699
"4193","-","-","-","-","-","-","-","v Australia","Hobart","20 Dec 2007","ODI # 2657","Ross Taylor",38699
"4194","-","-","-","-","-","-","-","v Bangladesh","Auckland","26 Dec 2007","ODI # 2658","Ross Taylor",38699
"4195","1.0","0","2","0","2.00","-","-","v Bangladesh","Napier","28 Dec 2007","ODI # 2659","Ross Taylor",38699
"4196","-","-","-","-","-","-","-","v Bangladesh","Queenstown","31 Dec 2007","ODI # 2660","Ross Taylor",38699
"4197","-","-","-","-","-","-","-","v England","Wellington","9 Feb 2008","ODI # 2674","Ross Taylor",38699
"4198","-","-","-","-","-","-","-","v England","Hamilton","12 Feb 2008","ODI # 2677","Ross Taylor",38699
"4199","-","-","-","-","-","-","-","v England","Auckland","15 Feb 2008","ODI # 2678","Ross Taylor",38699
"4200","-","-","-","-","-","-","-","v England","Napier","20 Feb 2008","ODI # 2682","Ross Taylor",38699
"4201","-","-","-","-","-","-","-","v England","Christchurch","23 Feb 2008","ODI # 2684","Ross Taylor",38699
"4202","2.0","0","14","0","7.00","-","-","v England","Chester-le-Street","15 Jun 2008","ODI # 2708","Ross Taylor",38699
"4203","-","-","-","-","-","-","-","v England","Birmingham","18 Jun 2008","ODI # 2709","Ross Taylor",38699
"4204","-","-","-","-","-","-","-","v England","Bristol","21 Jun 2008","ODI # 2710","Ross Taylor",38699
"4205","-","-","-","-","-","-","-","v England","The Oval","25 Jun 2008","ODI # 2714","Ross Taylor",38699
"4206","-","-","-","-","-","-","-","v England","Lord's","28 Jun 2008","ODI # 2720","Ross Taylor",38699
"4207","-","-","-","-","-","-","-","v Ireland","Aberdeen","1 Jul 2008","ODI # 2727","Ross Taylor",38699
"4208","-","-","-","-","-","-","-","v Scotland","Aberdeen","3 Jul 2008","ODI # 2731","Ross Taylor",38699
"4209","-","-","-","-","-","-","-","v Bangladesh","Dhaka","9 Oct 2008","ODI # 2763","Ross Taylor",38699
"4210","-","-","-","-","-","-","-","v Bangladesh","Dhaka","11 Oct 2008","ODI # 2764","Ross Taylor",38699
"4211","-","-","-","-","-","-","-","v Bangladesh","Chattogram","14 Oct 2008","ODI # 2765","Ross Taylor",38699
"4212","-","-","-","-","-","-","-","v West Indies","Queenstown","31 Dec 2008","ODI # 2786","Ross Taylor",38699
"4213","-","-","-","-","-","-","-","v West Indies","Christchurch","3 Jan 2009","ODI # 2787","Ross Taylor",38699
"4214","-","-","-","-","-","-","-","v West Indies","Wellington","7 Jan 2009","ODI # 2788","Ross Taylor",38699
"4215","-","-","-","-","-","-","-","v West Indies","Auckland","10 Jan 2009","ODI # 2789","Ross Taylor",38699
"4216","-","-","-","-","-","-","-","v West Indies","Napier","13 Jan 2009","ODI # 2792","Ross Taylor",38699
"4217","-","-","-","-","-","-","-","v Australia","Perth","1 Feb 2009","ODI # 2811","Ross Taylor",38699
"4218","-","-","-","-","-","-","-","v Australia","Melbourne","6 Feb 2009","ODI # 2816","Ross Taylor",38699
"4219","-","-","-","-","-","-","-","v Australia","Sydney","8 Feb 2009","ODI # 2817","Ross Taylor",38699
"4220","-","-","-","-","-","-","-","v Australia","Adelaide","10 Feb 2009","ODI # 2819","Ross Taylor",38699
"4221","-","-","-","-","-","-","-","v Australia","Brisbane","13 Feb 2009","ODI # 2820","Ross Taylor",38699
"4222","-","-","-","-","-","-","-","v India","Napier","3 Mar 2009","ODI # 2821","Ross Taylor",38699
"4223","-","-","-","-","-","-","-","v India","Wellington","6 Mar 2009","ODI # 2822","Ross Taylor",38699
"4224","-","-","-","-","-","-","-","v India","Christchurch","8 Mar 2009","ODI # 2823","Ross Taylor",38699
"4225","-","-","-","-","-","-","-","v India","Hamilton","11 Mar 2009","ODI # 2824","Ross Taylor",38699
"4226","-","-","-","-","-","-","-","v India","Auckland","14 Mar 2009","ODI # 2825","Ross Taylor",38699
"4227","-","-","-","-","-","-","-","v Sri Lanka","Colombo (RPS)","8 Sep 2009","ODI # 2884","Ross Taylor",38699
"4228","-","-","-","-","-","-","-","v India","Colombo (RPS)","11 Sep 2009","ODI # 2886","Ross Taylor",38699
"4229","-","-","-","-","-","-","-","v South Africa","Centurion","24 Sep 2009","ODI # 2895","Ross Taylor",38699
"4230","-","-","-","-","-","-","-","v Sri Lanka","Johannesburg","27 Sep 2009","ODI # 2899","Ross Taylor",38699
"4231","-","-","-","-","-","-","-","v England","Johannesburg","29 Sep 2009","ODI # 2902","Ross Taylor",38699
"4232","-","-","-","-","-","-","-","v Pakistan","Johannesburg","3 Oct 2009","ODI # 2906","Ross Taylor",38699
"4233","-","-","-","-","-","-","-","v Australia","Centurion","5 Oct 2009","ODI # 2907","Ross Taylor",38699
"4234","-","-","-","-","-","-","-","v Pakistan","Abu Dhabi","3 Nov 2009","ODI # 2921","Ross Taylor",38699
"4235","-","-","-","-","-","-","-","v Pakistan","Abu Dhabi","6 Nov 2009","ODI # 2924","Ross Taylor",38699
"4236","-","-","-","-","-","-","-","v Pakistan","Abu Dhabi","9 Nov 2009","ODI # 2927","Ross Taylor",38699
"4237","-","-","-","-","-","-","-","v Bangladesh","Napier","5 Feb 2010","ODI # 2949","Ross Taylor",38699
"4238","-","-","-","-","-","-","-","v Bangladesh","Dunedin","8 Feb 2010","ODI # 2951","Ross Taylor",38699
"4239","-","-","-","-","-","-","-","v Bangladesh","Christchurch","11 Feb 2010","ODI # 2953","Ross Taylor",38699
"4240","-","-","-","-","-","-","-","v Australia","Napier","3 Mar 2010","ODI # 2966","Ross Taylor",38699
"4241","-","-","-","-","-","-","-","v Australia","Hamilton","9 Mar 2010","ODI # 2971","Ross Taylor",38699
"4242","-","-","-","-","-","-","-","v Australia","Auckland","11 Mar 2010","ODI # 2973","Ross Taylor",38699
"4243","-","-","-","-","-","-","-","v Australia","Wellington","13 Mar 2010","ODI # 2975","Ross Taylor",38699
"4244","-","-","-","-","-","-","-","v India","Dambulla","10 Aug 2010","ODI # 3030","Ross Taylor",38699
"4245","-","-","-","-","-","-","-","v Sri Lanka","Dambulla","13 Aug 2010","ODI # 3031","Ross Taylor",38699
"4246","-","-","-","-","-","-","-","v Sri Lanka","Dambulla","19 Aug 2010","ODI # 3037","Ross Taylor",38699
"4247","-","-","-","-","-","-","-","v India","Dambulla","25 Aug 2010","ODI # 3039","Ross Taylor",38699
"4248","-","-","-","-","-","-","-","v Bangladesh","Dhaka","5 Oct 2010","ODI # 3051","Ross Taylor",38699
"4249","2.0","0","3","0","1.50","-","-","v Bangladesh","Dhaka","11 Oct 2010","ODI # 3054","Ross Taylor",38699
"4250","-","-","-","-","-","-","-","v Bangladesh","Dhaka","14 Oct 2010","ODI # 3056","Ross Taylor",38699
"4251","-","-","-","-","-","-","-","v Bangladesh","Dhaka","17 Oct 2010","ODI # 3058","Ross Taylor",38699
"4252","-","-","-","-","-","-","-","v India","Guwahati","28 Nov 2010","ODI # 3070","Ross Taylor",38699
"4253","-","-","-","-","-","-","-","v India","Jaipur","1 Dec 2010","ODI # 3072","Ross Taylor",38699
"4254","-","-","-","-","-","-","-","v India","Vadodara","4 Dec 2010","ODI # 3074","Ross Taylor",38699
"4255","-","-","-","-","-","-","-","v India","Bengaluru","7 Dec 2010","ODI # 3076","Ross Taylor",38699
"4256","-","-","-","-","-","-","-","v India","Chennai","10 Dec 2010","ODI # 3077","Ross Taylor",38699
"4257","-","-","-","-","-","-","-","v Pakistan","Wellington","22 Jan 2011","ODI # 3085","Ross Taylor",38699
"4258","-","-","-","-","-","-","-","v Pakistan","Queenstown","26 Jan 2011","ODI # 3088","Ross Taylor",38699
"4259","-","-","-","-","-","-","-","v Pakistan","Christchurch","29 Jan 2011","ODI # 3090","Ross Taylor",38699
"4260","-","-","-","-","-","-","-","v Pakistan","Napier","1 Feb 2011","ODI # 3093","Ross Taylor",38699
"4261","-","-","-","-","-","-","-","v Pakistan","Hamilton","3 Feb 2011","ODI # 3095","Ross Taylor",38699
"4262","-","-","-","-","-","-","-","v Pakistan","Auckland","5 Feb 2011","ODI # 3097","Ross Taylor",38699
"4263","-","-","-","-","-","-","-","v Kenya","Chennai","20 Feb 2011","ODI # 3101","Ross Taylor",38699
"4264","-","-","-","-","-","-","-","v Australia","Nagpur","25 Feb 2011","ODI # 3107","Ross Taylor",38699
"4265","-","-","-","-","-","-","-","v Zimbabwe","Ahmedabad","4 Mar 2011","ODI # 3117","Ross Taylor",38699
"4266","-","-","-","-","-","-","-","v Pakistan","Pallekele","8 Mar 2011","ODI # 3123","Ross Taylor",38699
"4267","-","-","-","-","-","-","-","v Canada","Mumbai","13 Mar 2011","ODI # 3129","Ross Taylor",38699
"4268","-","-","-","-","-","-","-","v Sri Lanka","Mumbai","18 Mar 2011","ODI # 3137","Ross Taylor",38699
"4269","-","-","-","-","-","-","-","v South Africa","Dhaka","25 Mar 2011","ODI # 3144","Ross Taylor",38699
"4270","-","-","-","-","-","-","-","v Sri Lanka","Colombo (RPS)","29 Mar 2011","ODI # 3146","Ross Taylor",38699
"4271","-","-","-","-","-","-","-","v Zimbabwe","Harare","20 Oct 2011","ODI # 3204","Ross Taylor",38699
"4272","-","-","-","-","-","-","-","v Zimbabwe","Harare","22 Oct 2011","ODI # 3206","Ross Taylor",38699
"4273","-","-","-","-","-","-","-","v Zimbabwe","Bulawayo","25 Oct 2011","ODI # 3209","Ross Taylor",38699
"4274","-","-","-","-","-","-","-","v West Indies","Basseterre","14 Jul 2012","ODI # 3289","Ross Taylor",38699
"4275","-","-","-","-","-","-","-","v West Indies","Basseterre","16 Jul 2012","ODI # 3290","Ross Taylor",38699
"4276","-","-","-","-","-","-","-","v Sri Lanka","Pallekele","4 Nov 2012","ODI # 3305","Ross Taylor",38699
"4277","-","-","-","-","-","-","-","v Sri Lanka","Pallekele","6 Nov 2012","ODI # 3306","Ross Taylor",38699
"4278","-","-","-","-","-","-","-","v Sri Lanka","Hambantota","10 Nov 2012","ODI # 3307","Ross Taylor",38699
"4279","-","-","-","-","-","-","-","v Sri Lanka","Hambantota","12 Nov 2012","ODI # 3308","Ross Taylor",38699
"4280","-","-","-","-","-","-","-","v England","Hamilton","17 Feb 2013","ODI # 3335","Ross Taylor",38699
"4281","-","-","-","-","-","-","-","v England","Napier","20 Feb 2013","ODI # 3336","Ross Taylor",38699
"4282","-","-","-","-","-","-","-","v England","Auckland","23 Feb 2013","ODI # 3338","Ross Taylor",38699
"4283","-","-","-","-","-","-","-","v England","Lord's","31 May 2013","ODI # 3360","Ross Taylor",38699
"4284","-","-","-","-","-","-","-","v England","Southampton","2 Jun 2013","ODI # 3361","Ross Taylor",38699
"4285","-","-","-","-","-","-","-","v England","Nottingham","5 Jun 2013","ODI # 3362","Ross Taylor",38699
"4286","-","-","-","-","-","-","-","v Sri Lanka","Cardiff","9 Jun 2013","ODI # 3366","Ross Taylor",38699
"4287","-","-","-","-","-","-","-","v Australia","Birmingham","12 Jun 2013","ODI # 3369","Ross Taylor",38699
"4288","-","-","-","-","-","-","-","v England","Cardiff","16 Jun 2013","ODI # 3373","Ross Taylor",38699
"4289","-","-","-","-","-","-","-","v Bangladesh","Dhaka","29 Oct 2013","ODI # 3423","Ross Taylor",38699
"4290","-","-","-","-","-","-","-","v Bangladesh","Dhaka","31 Oct 2013","ODI # 3426","Ross Taylor",38699
"4291","-","-","-","-","-","-","-","v Bangladesh","Fatullah","3 Nov 2013","ODI # 3429","Ross Taylor",38699
"4292","-","-","-","-","-","-","-","v West Indies","Auckland","26 Dec 2013","ODI # 3449","Ross Taylor",38699
"4293","-","-","-","-","-","-","-","v West Indies","Queenstown","1 Jan 2014","ODI # 3451","Ross Taylor",38699
"4294","-","-","-","-","-","-","-","v West Indies","Nelson","4 Jan 2014","ODI # 3452","Ross Taylor",38699
"4295","-","-","-","-","-","-","-","v West Indies","Hamilton","8 Jan 2014","ODI # 3453","Ross Taylor",38699
"4296","-","-","-","-","-","-","-","v India","Napier","19 Jan 2014","ODI # 3456","Ross Taylor",38699
"4297","-","-","-","-","-","-","-","v India","Hamilton","22 Jan 2014","ODI # 3458","Ross Taylor",38699
"4298","-","-","-","-","-","-","-","v India","Auckland","25 Jan 2014","ODI # 3462","Ross Taylor",38699
"4299","-","-","-","-","-","-","-","v India","Hamilton","28 Jan 2014","ODI # 3465","Ross Taylor",38699
"4300","-","-","-","-","-","-","-","v India","Wellington","31 Jan 2014","ODI # 3467","Ross Taylor",38699
"4301","-","-","-","-","-","-","-","v Pakistan","Dubai (DSC)","8 Dec 2014","ODI # 3564","Ross Taylor",38699
"4302","-","-","-","-","-","-","-","v Pakistan","Sharjah","12 Dec 2014","ODI # 3566","Ross Taylor",38699
"4303","-","-","-","-","-","-","-","v Pakistan","Sharjah","14 Dec 2014","ODI # 3568","Ross Taylor",38699
"4304","-","-","-","-","-","-","-","v Pakistan","Abu Dhabi","17 Dec 2014","ODI # 3570","Ross Taylor",38699
"4305","-","-","-","-","-","-","-","v Pakistan","Abu Dhabi","19 Dec 2014","ODI # 3571","Ross Taylor",38699
"4306","-","-","-","-","-","-","-","v Sri Lanka","Hamilton","15 Jan 2015","ODI # 3577","Ross Taylor",38699
"4307","-","-","-","-","-","-","-","v Sri Lanka","Auckland","17 Jan 2015","ODI # 3580","Ross Taylor",38699
"4308","-","-","-","-","-","-","-","v Sri Lanka","Nelson","20 Jan 2015","ODI # 3585","Ross Taylor",38699
"4309","-","-","-","-","-","-","-","v Sri Lanka","Dunedin","23 Jan 2015","ODI # 3588","Ross Taylor",38699
"4310","-","-","-","-","-","-","-","v Sri Lanka","Dunedin","25 Jan 2015","ODI # 3590","Ross Taylor",38699
"4311","-","-","-","-","-","-","-","v Sri Lanka","Wellington","29 Jan 2015","ODI # 3594","Ross Taylor",38699
"4312","-","-","-","-","-","-","-","v Pakistan","Wellington","31 Jan 2015","ODI # 3596","Ross Taylor",38699
"4313","-","-","-","-","-","-","-","v Pakistan","Napier","3 Feb 2015","ODI # 3598","Ross Taylor",38699
"4314","-","-","-","-","-","-","-","v Sri Lanka","Christchurch","14 Feb 2015","ODI # 3599","Ross Taylor",38699
"4315","-","-","-","-","-","-","-","v Scotland","Dunedin","17 Feb 2015","ODI # 3604","Ross Taylor",38699
"4316","-","-","-","-","-","-","-","v England","Wellington","20 Feb 2015","ODI # 3607","Ross Taylor",38699
"4317","-","-","-","-","-","-","-","v Australia","Auckland","28 Feb 2015","ODI # 3617","Ross Taylor",38699
"4318","-","-","-","-","-","-","-","v Afghanistan","Napier","8 Mar 2015","ODI # 3628","Ross Taylor",38699
"4319","-","-","-","-","-","-","-","v Bangladesh","Hamilton","13 Mar 2015","ODI # 3634","Ross Taylor",38699
"4320","-","-","-","-","-","-","-","v West Indies","Wellington","21 Mar 2015","ODI # 3643","Ross Taylor",38699
"4321","-","-","-","-","-","-","-","v South Africa","Auckland","24 Mar 2015","ODI # 3644","Ross Taylor",38699
"4322","-","-","-","-","-","-","-","v Australia","Melbourne","29 Mar 2015","ODI # 3646","Ross Taylor",38699
"4323","-","-","-","-","-","-","-","v England","Birmingham","9 Jun 2015","ODI # 3654","Ross Taylor",38699
"4324","-","-","-","-","-","-","-","v England","The Oval","12 Jun 2015","ODI # 3655","Ross Taylor",38699
"4325","-","-","-","-","-","-","-","v England","Southampton","14 Jun 2015","ODI # 3656","Ross Taylor",38699
"4326","-","-","-","-","-","-","-","v England","Nottingham","17 Jun 2015","ODI # 3657","Ross Taylor",38699
"4327","-","-","-","-","-","-","-","v England","Chester-le-Street","20 Jun 2015","ODI # 3659","Ross Taylor",38699
"4328","-","-","-","-","-","-","-","v Zimbabwe","Harare","2 Aug 2015","ODI # 3673","Ross Taylor",38699
"4329","-","-","-","-","-","-","-","v Zimbabwe","Harare","4 Aug 2015","ODI # 3674","Ross Taylor",38699
"4330","-","-","-","-","-","-","-","v Sri Lanka","Christchurch","26 Dec 2015","ODI # 3714","Ross Taylor",38699
"4331","-","-","-","-","-","-","-","v Sri Lanka","Christchurch","28 Dec 2015","ODI # 3715","Ross Taylor",38699
"4332","-","-","-","-","-","-","-","v Sri Lanka","Nelson","31 Dec 2015","ODI # 3717","Ross Taylor",38699
"4333","-","-","-","-","-","-","-","v Sri Lanka","Nelson","2 Jan 2016","ODI # 3718","Ross Taylor",38699
"4334","-","-","-","-","-","-","-","v Sri Lanka","Mount Maunganui","5 Jan 2016","ODI # 3721","Ross Taylor",38699
"4335","-","-","-","-","-","-","-","v India","Dharamsala","16 Oct 2016","ODI # 3796","Ross Taylor",38699
"4336","-","-","-","-","-","-","-","v India","Delhi","20 Oct 2016","ODI # 3797","Ross Taylor",38699
"4337","-","-","-","-","-","-","-","v India","Mohali","23 Oct 2016","ODI # 3798","Ross Taylor",38699
"4338","-","-","-","-","-","-","-","v India","Ranchi","26 Oct 2016","ODI # 3799","Ross Taylor",38699
"4339","-","-","-","-","-","-","-","v India","Visakhapatnam","29 Oct 2016","ODI # 3800","Ross Taylor",38699
